name,car_name,car_number,group
Ethan Martinez,Blue Blaze,101,Tiger Cubs
Olivia Chen,Purple Lightning,102,Tiger Cubs
Liam Johnson,Red Rocket,103,Tiger Cubs
Sophia Williams,Silver Arrow,104,Tiger Cubs
Noah Brown,Gold Rush,105,Tiger Cubs
Emma Davis,Green Machine,201,Wolf
Jackson Wilson,Thunder Bolt,202,Wolf
Ava Thompson,Star Cruiser,203,Wolf
Lucas Garcia,Fire Storm,204,Wolf
Mia Anderson,Shadow Racer,205,Wolf
Aiden Taylor,Night Hawk,301,Bear
Isabella Thomas,Speed Demon,302,Bear
Mason Hernandez,Sky Runner,303,Bear
Charlotte White,Ice Dragon,304,Bear
Elijah Robinson,Turbo Jet,305,Bear
Amelia Clark,Phantom X,401,Webelos
James Lewis,Eagle Eye,402,Webelos
Harper Walker,Storm Chaser,403,Webelos
Benjamin Hall,Iron Horse,404,Webelos
Evelyn Young,Comet Streak,405,Webelos
Alexander King,Lunar Wolf,501,Arrow of Light
Abigail Wright,Phoenix Wing,502,Arrow of Light
Daniel Lopez,Viper Strike,503,Arrow of Light
Emily Hill,Wave Rider,504,Arrow of Light
Henry Scott,Blaze Runner,505,Arrow of Light
